File: owlet-video
Build ID: b84ab6aacd207e1899c304e521eef264438d7882
Type: cpu
Time: 2026-09-23 20:15:38 CST
Duration: 15s, Total samples = 1.23s ( 8.20%)
Showing nodes accounting for 0.88s, 71.54% of 1.23s total
Showing top 15 nodes out of 335
      flat  flat%   sum%        cum   cum%
     0.47s 38.21% 38.21%      0.47s 38.21%  internal/runtime/syscall/linux.Syscall6
     0.25s 20.33% 58.54%      0.25s 20.33%  runtime.futex
     0.03s  2.44% 60.98%      0.03s  2.44%  runtime.write1
     0.02s  1.63% 62.60%      0.02s  1.63%  runtime.lock2
     0.01s  0.81% 63.41%      0.03s  2.44%  bufio.(*Reader).Read
     0.01s  0.81% 64.23%      0.01s  0.81%  database/sql.(*Rows).nextLocked
     0.01s  0.81% 65.04%      0.01s  0.81%  database/sql.(*driverConn).validateConnection
     0.01s  0.81% 65.85%      0.01s  0.81%  encoding/json/internal/jsonwire.ConsumeSimpleString
     0.01s  0.81% 66.67%      0.01s  0.81%  encoding/json/jsontext.putBufferedDecoder
     0.01s  0.81% 67.48%      0.01s  0.81%  encoding/json/jsontext.stateMachine.MayAppendDelim
     0.01s  0.81% 68.29%      0.12s  9.76%  github.com/go-sql-driver/mysql.(*buffer).fill
     0.01s  0.81% 69.11%      0.02s  1.63%  gorm.io/gorm.(*DB).Limit
     0.01s  0.81% 69.92%      0.01s  0.81%  gorm.io/gorm.(*DB).Session
     0.01s  0.81% 70.73%      0.02s  1.63%  gorm.io/gorm.(*Statement).Build
     0.01s  0.81% 71.54%      0.01s  0.81%  gorm.io/gorm/clause.Clause.Build
